#import h5py
#import numpy as np
#f=h5py.File("LDC2_sangria_training_v2.h5", "r")
#c=f["sky"]["mbhb"]["cat"]
#np.savetxt("original_source_params.dat", np.transpose([np.asarray(c["Mass1"]).flatten(), np.asarray(c["Mass2"]).flatten(), np.asarray(c["Spin1"]).flatten(), np.asarray(c["Spin2"]).flatten(), np.asarray(c["PhaseAtCoalescence"]).flatten(), np.asarray(c["CoalescenceTime"]).flatten(), np.asarray(c["Distance"]).flatten(), np.asarray(c["EclipticLatitude"]).flatten(), np.asarray(c["EclipticLongitude"]).flatten(), np.asarray(c["InitialPolarAngleL"]).flatten(), np.asarray(c["InitialAzimuthalAngleL"]).flatten(), np.asarray(c["PolarAngleOfSpin1"]).flatten(), np.asarray(c["PolarAngleOfSpin2"]).flatten(),np.asarray(c["Redshift"]).flatten(), np.asarray(c["Cadence"]).flatten(), np.asarray(c["ObservationDuration"]).flatten()]))
# Mass1  Mass2  Spin1  Spin2  PhaseAtCoalescence  CoalescenceTime  Distance  EclipticLatitude  EclipticLongitude  InitialPolarAngleL  InitialAzimuthalAngleL  PolarAngleOfSpin1  PolarAngleOfSpin2  Redshift  Cadence ObservationDuration
1.015522437599999947e+06 7.968491091000000015e+05 9.726609999999999978e-01 9.728620000000000045e-01 4.275929308696054143e+00 4.800021155728530139e+06 1.775836794127344183e+04 -5.641023936335076705e-01 6.109268516130327287e-01 2.577538885354946352e+00 4.094550225563853729e+00 9.089723456902255583e-01 1.181699449912277711e+00 2.181859999999999911e+00 3.000000000000000000e+00 3.155814976354560256e+07
4.956676287599999458e+06 4.067166603519999888e+06 7.421280000000000099e-01 9.892469999999999875e-01 3.783308916721984883e+00 8.746488468599081039e+06 6.109711607589422056e+04 -1.081082148175418034e+00 4.052962883461064258e+00 9.635860362638292154e-01 3.636924502262788295e+00 2.354231671039205942e+00 1.689765168027038689e+00 6.176879999999999704e+00 3.000000000000000000e+00 3.155814976354560256e+07
1.773562660720000044e+06 1.083355700160000008e+06 5.741220000000000212e-01 5.926709999999999479e-01 2.311126736432254081e+00 1.116784344201624766e+07 5.947223759169399273e+04 6.360283643790570762e-01 7.791590074474858962e-01 2.328021639483145722e-01 3.798410656245556627e+00 2.332026883506834736e+00 2.065443352338659722e+00 6.034959999999999880e+00 3.000000000000000000e+00 3.155814976354560256e+07
9.159926493599999230e+05 7.017527144399998942e+05 9.428239999999999954e-01 8.707890000000000352e-01 1.150360424590556763e+00 1.125857377520055138e+07 7.705852640407433682e+03 -8.785698620724740060e-01 4.549719557302552175e+00 1.899782385920306238e+00 5.829770524402561271e+00 2.068668667991948595e+00 1.097988881758695801e+00 1.103960000000000052e+00 3.000000000000000000e+00 3.155814976354560256e+07
1.323277479319999926e+06 6.124855060299999313e+05 7.473769999999999580e-01 8.387999999999999901e-01 1.220196886001565284e+00 1.152694492187926173e+07 1.347098355897253714e+04 -3.030044229417423463e-01 1.292518386104852146e+00 2.691982450003294502e+00 1.808398497592109022e+00 1.203136179105681158e+00 2.097303543065685005e+00 1.739409999999999901e+00 3.000000000000000000e+00 3.155814976354560256e+07
2.830218253099999856e+06 2.322253221899999771e+06 7.455739999999999590e-01 5.468480000000000008e-01 4.111379255629407758e+00 1.197096448272544891e+07 5.347469378994924773e+04 1.472960186801384186e-01 5.986229948917219268e+00 1.131249731682107740e+00 4.319761023904520769e+00 2.434151910466782365e+00 1.926612673934833930e+00 5.507699999999999818e+00 3.000000000000000000e+00 3.155814976354560256e+07
3.204750466740000062e+06 3.056613408959999681e+06 8.291410000000000169e-01 9.722190000000000554e-01 3.628682477123819528e+00 1.361711310218552686e+07 2.482913777520239819e+04 -9.873035001010816991e-01 3.886726441488627781e+00 2.050927719296176566e+00 1.084369872233690524e+00 2.594339321856909297e+00 1.719446040774288642e+00 2.879659999999999886e+00 3.000000000000000000e+00 3.155814976354560256e+07
1.856420287130000070e+06 1.801541223849999951e+06 9.887780000000000458e-01 9.759449999999999514e-01 1.866057058475384833e+00 1.653219154787010513e+07 4.301092505011013418e+04 9.170307528208982983e-01 3.584891505554812507e+00 1.410068094499088431e+00 5.279147880519126090e-01 1.665849804902128417e+00 2.092903155833516049e+00 4.572610000000000063e+00 3.000000000000000000e+00 3.155814976354560256e+07
3.983914771199999843e+06 2.049535120499999961e+06 8.336740000000000261e-01 9.819010000000000238e-01 1.578619594274742965e+00 1.724515600227810442e+07 2.974755159729718071e+04 8.352504908758556779e-01 3.257316284380881832e+00 2.323179089874677583e+00 3.643228409530135270e+00 2.362670851001780647e+00 1.539846161961425430e+00 3.349099999999999966e+00 3.000000000000000000e+00 3.155814976354560256e+07
3.128823352620000020e+06 2.640345723660000134e+06 8.258830000000000338e-01 8.113599999999999701e-01 3.425317100235925505e+00 1.860575810777252913e+07 7.304816721769486321e+04 -5.213686491030382619e-01 3.085540732302169076e+00 2.604700596393040524e+00 1.670015939922296022e+00 2.582940536787447172e+00 2.200156150932467636e+00 7.210259999999999891e+00 3.000000000000000000e+00 3.155814976354560256e+07
